data,quantidade
2022-09-27,0
2022-09-27,15852
2022-09-27,2430
2022-09-27,1701
2022-09-27,651
2022-09-27,300
2022-09-28,24
2022-09-28,8853
2022-09-28,3003
2022-09-28,3435
2022-09-28,360
2022-09-28,1440
2022-09-29,150
2022-09-29,300
2022-09-29,1632
2022-09-29,612
2022-09-29,4197
2022-09-29,1800
2022-09-30,1023
2022-09-30,75
2022-09-30,180
2022-09-30,10560
2022-10-01,126
2022-10-03,30
2022-10-03,1734
2022-10-03,51
2022-10-03,285
2022-10-04,42
2022-10-04,1110
2022-10-04,45
2022-10-04,780
2022-10-04,5973
2022-10-05,5175
2022-10-05,450
2022-10-05,300
2022-10-06,9
2022-10-06,1500
2022-10-06,30
2022-10-06,1500
2022-10-06,13539
2022-10-06,1311
2022-10-07,87
2022-10-07,6279
2022-10-07,1323
2022-10-07,1200
2022-10-07,1101
2022-10-08,150
2022-10-10,360
2022-10-10,5211
2022-10-10,1140
2022-10-10,120
2022-10-10,300
2022-10-11,6825
2022-10-11,60
2022-10-11,96
2022-10-13,300
2022-10-13,1260
2022-10-13,180
2022-10-13,90
2022-10-13,1500
2022-10-13,390
2022-10-13,1500
2022-10-13,2727
2022-10-14,-39
2022-10-14,963
2022-10-14,600
2022-10-14,1560
2022-10-14,60
2022-10-14,5781
2022-10-14,660
2022-10-17,1800
2022-10-17,900
2022-10-17,1680
2022-10-18,5904
2022-10-18,870
2022-10-18,510
2022-10-18,225
2022-10-18,540
2022-10-19,330
2022-10-19,3483
2022-10-19,1401
2022-10-19,3
2022-10-20,150
2022-10-20,210
2022-10-20,2157
2022-10-20,3393
2022-10-20,936
2022-10-20,627
2022-10-21,1380
2022-10-21,747
2022-10-21,5409
2022-10-21,1950
2022-10-21,900
2022-10-24,900
2022-10-24,720
2022-10-24,7821
2022-10-25,16761
2022-10-25,210
2022-10-25,9
2022-10-25,600
2022-10-25,360
2022-10-25,60
2022-10-26,600
2022-10-26,4272
2022-10-26,1530
2022-10-27,2406
2022-10-27,1065
2022-10-27,906
2022-10-27,165
2022-10-27,2250
2022-10-28,720
2022-10-28,450
2022-10-28,570
2022-10-28,3597
2022-10-28,3963
2022-10-29,1800
2022-10-31,300
2022-10-31,1542
2022-10-31,270
2022-10-31,867
2022-10-31,600
2022-10-31,702
2022-10-31,9282
2022-11-01,612
2022-11-01,150
2022-11-01,300
2022-11-03,150
2022-11-03,660
2022-11-03,1200
2022-11-03,1500
2022-11-03,585
2022-11-03,5430
2022-11-04,4470
2022-11-04,270
2022-11-04,675
2022-11-04,90
2022-11-04,5349
2022-11-07,30
2022-11-07,525
2022-11-07,600
2022-11-07,210
2022-11-07,750
2022-11-07,10179
2022-11-07,360
2022-11-08,600
2022-11-08,9741
2022-11-08,3201
2022-11-08,315
2022-11-09,120
2022-11-09,1950
2022-11-09,828
2022-11-09,990
2022-11-09,4446
2022-11-09,9951
2022-11-09,750
2022-11-10,450
2022-11-10,3654
2022-11-10,885
2022-11-10,3600
2022-11-10,120
2022-11-11,540
2022-11-11,8394
2022-11-11,1200
2022-11-11,1185
2022-11-11,120
2022-11-12,240
2022-11-12,1065
2022-11-12,435
2022-11-14,585
2022-11-14,8661
2022-11-14,1650
2022-11-14,411
2022-11-16,6369
2022-11-16,2220
2022-11-16,486
2022-11-16,90
2022-11-16,1401
2022-11-16,345
2022-11-17,840
2022-11-17,5472
2022-11-17,270
2022-11-17,600
2022-11-17,120
2022-11-17,498
2022-11-18,150
2022-11-18,6
2022-11-18,240
2022-11-18,3000
2022-11-18,11871
2022-11-18,4050
2022-11-18,1215
2022-11-21,3915
2022-11-21,351
2022-11-21,150
2022-11-21,1833
2022-11-22,180
2022-11-22,5562
2022-11-22,1401
2022-11-22,75
2022-11-22,456
2022-11-23,600
2022-11-23,4701
2022-11-23,300
2022-11-23,960
2022-11-23,45
2022-11-24,249
2022-11-24,930
2022-11-24,660
2022-11-25,450
2022-11-25,315
2022-11-25,4482
2022-11-25,540
2022-11-25,1923
2022-11-25,3000
2022-11-26,4020
2022-11-26,141
2022-11-28,735
2022-11-28,2100
2022-11-28,11550
2022-11-28,135
2022-11-28,810
2022-11-29,7887
2022-11-29,1320
2022-11-29,225
2022-11-30,1080
2022-11-30,10275
2022-11-30,210
2022-11-30,1050
2022-11-30,1425
2022-11-30,270
2022-12-01,11076
2022-12-01,1140
2022-12-01,990
2022-12-01,630
2022-12-02,360
2022-12-02,3615
2022-12-02,513
2022-12-02,246
2022-12-03,240
2022-12-05,2970
2022-12-05,3000
2022-12-05,2370
2022-12-05,1620
2022-12-06,6951
2022-12-06,1620
2022-12-06,150
2022-12-06,1245
2022-12-07,90
2022-12-07,2250
2022-12-07,960
2022-12-07,5274
2022-12-07,375
2022-12-08,3690
2022-12-08,30
2022-12-08,99
2022-12-08,555
2022-12-09,540
2022-12-09,4473
2022-12-09,240
2022-12-09,6582
2022-12-09,1533
2022-12-10,12
2022-12-10,600
2022-12-12,561
2022-12-12,3600
2022-12-12,2976
2022-12-12,5670
